y,roach1,treatment,senior,exposure2
109,16.25,1,0,1
5,7.78,1,0,1.48571428571429
15,53,1,0,1
0,2,1,0,1
64,73,1,0,1
0,0,1,0,0.8
1,0,1,0,0.8
0,0,1,0,1
1,3.18,1,0,1
3,5,0,0,0.857142857142857
5,3,0,0,0.8
7,0,0,0,1
18,10,0,0,0.8
1,1,0,0,1
0,0,1,0,1
0,1,1,0,0.8
3,12,1,0,1
3,17,1,0,1
0,16,1,0,1
19,2.5,1,0,1.42857142857143
0,0,1,0,1.71428571428571
8,21.88,1,0,0.771428571428571
26,173,1,0,0.8
50,111,1,0,1
15,35,1,0,1.85714285714286
0,0,1,0,1
19,3,1,0,1
5,2.1,1,0,1
17,0,1,0,1
121,49,1,0,1
1,1.25,1,0,1
0,1,1,0,0.8
0,1,1,0,1
0,0,1,0,1
0,0,1,0,2.28571428571429
4,54,1,0,0.8
1,4.2,1,0,1.42857142857143
14,51.25,1,0,1.02857142857143
1,30,1,0,1.71428571428571
25,196,0,0,1.14285714285714
0,0,0,0,1.14285714285714
14,2,0,0,1
0,1.5,0,0,1
59,96.25,0,0,1.14285714285714
243,241.5,0,0,0.8
80,140,0,0,1.42857142857143
69,18,0,0,0.914285714285714
14,3,0,0,1.14285714285714
9,0.54,0,0,1.28571428571429
38,82,0,0,0.6
37,19,0,0,1
48,18.75,0,0,0.8
293,51,0,0,1.14285714285714
7,0,0,0,1
10,1,0,0,1.42857142857143
19,0,0,0,1
24,5.44,0,0,1
91,0,0,0,1
1,3,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
148,28.75,0,1,1.14285714285714
3,0,0,1,0.857142857142857
26,3,0,1,1
12,2,0,1,1
77,135,0,1,1
0,0,0,1,1
7,68.25,0,1,1
0,1,0,1,1
1,0,0,1,1
0,0,0,1,0.6
17,0,0,1,1.02857142857143
0,1,0,1,1
7,1,0,1,1
11,2.5,0,1,0.685714285714286
6,51.25,0,1,0.8
50,13.13,0,1,1
1,0,0,1,0.8
0,0,0,1,1.48571428571429
0,0,0,1,1
0,0,0,1,1
171,0,0,1,1
8,0,0,1,1
